c0,xi,minC,collapse_flag,collapse_epsilon
1.05,0.07428571428571429,1.05,0,0.05
0.25,0.10142857142857144,0.0,1,0.05
0.30714285714285716,0.10142857142857144,0.0,1,0.05
0.3642857142857143,0.10142857142857144,0.0,1,0.05
0.42142857142857143,0.10142857142857144,0.0,1,0.05
0.4785714285714286,0.10142857142857144,0.0,1,0.05
0.5357142857142858,0.10142857142857144,0.0,1,0.05
0.5928571428571429,0.10142857142857144,0.3719677774365807,0,0.05
0.65,0.10142857142857144,0.6171966238668241,0,0.05
0.7071428571428572,0.10142857142857144,0.70696259169639,0,0.05
0.7642857142857143,0.10142857142857144,0.7642857142857143,0,0.05
0.8214285714285715,0.10142857142857144,0.8214285714285715,0,0.05
0.8785714285714287,0.10142857142857144,0.8785714285714287,0,0.05
0.9357142857142857,0.10142857142857144,0.9357142857142857,0,0.05
0.9928571428571429,0.10142857142857144,0.9928571428571429,0,0.05
1.05,0.10142857142857144,1.05,0,0.05
0.25,0.12857142857142856,0.0,1,0.05
0.30714285714285716,0.12857142857142856,0.0,1,0.05
0.3642857142857143,0.12857142857142856,0.0,1,0.05
0.42142857142857143,0.12857142857142856,0.0,1,0.05
0.4785714285714286,0.12857142857142856,0.0,1,0.05
0.5357142857142858,0.12857142857142856,0.0,1,0.05
0.5928571428571429,0.12857142857142856,0.0,1,0.05
0.65,0.12857142857142856,0.0,1,0.05
0.7071428571428572,0.12857142857142856,0.5808949256006902,0,0.05
0.7642857142857143,0.12857142857142856,0.7561746629362266,0,0.05
0.8214285714285715,0.12857142857142856,0.8214285714285715,0,0.05
0.8785714285714287,0.12857142857142856,0.8785714285714287,0,0.05
0.9357142857142857,0.12857142857142856,0.9357142857142857,0,0.05
0.9928571428571429,0.12857142857142856,0.9928571428571429,0,0.05
1.05,0.12857142857142856,1.05,0,0.05
0.25,0.1557142857142857,0.0,1,0.05
0.30714285714285716,0.1557142857142857,0.0,1,0.05
0.3642857142857143,0.1557142857142857,0.0,1,0.05
0.42142857142857143,0.1557142857142857,0.0,1,0.05
0.4785714285714286,0.1557142857142857,0.0,1,0.05
0.5357142857142858,0.1557142857142857,0.0,1,0.05
0.5928571428571429,0.1557142857142857,0.0,1,0.05
0.65,0.1557142857142857,0.0,1,0.05
0.7071428571428572,0.1557142857142857,0.0,1,0.05
0.7642857142857143,0.1557142857142857,0.614621228300534,0,0.05
0.8214285714285715,0.1557142857142857,0.8187890135663608,0,0.05
0.8785714285714287,0.1557142857142857,0.8785714285714287,0,0.05
0.9357142857142857,0.1557142857142857,0.9357142857142857,0,0.05
0.9928571428571429,0.1557142857142857,0.9928571428571429,0,0.05
1.05,0.1557142857142857,1.05,0,0.05
0.25,0.18285714285714286,0.0,1,0.05
0.30714285714285716,0.18285714285714286,0.0,1,0.05
0.3642857142857143,0.18285714285714286,0.0,1,0.05
0.42142857142857143,0.18285714285714286,0.0,1,0.05
0.4785714285714286,0.18285714285714286,0.0,1,0.05
0.5357142857142858,0.18285714285714286,0.0,1,0.05
0.5928571428571429,0.18285714285714286,0.0,1,0.05
0.65,0.18285714285714286,0.0,1,0.05
0.7071428571428572,0.18285714285714286,0.0,1,0.05
0.7642857142857143,0.18285714285714286,0.0,1,0.05
0.8214285714285715,0.18285714285714286,0.7748450556391707,0,0.05
0.8785714285714287,0.18285714285714286,0.8785714285714287,0,0.05
0.9357142857142857,0.18285714285714286,0.9357142857142857,0,0.05
0.9928571428571429,0.18285714285714286,0.9928571428571429,0,0.05
1.05,0.18285714285714286,1.05,0,0.05
0.25,0.21,0.0,1,0.05
0.30714285714285716,0.21,0.0,1,0.05
0.3642857142857143,0.21,0.0,1,0.05
0.42142857142857143,0.21,0.0,1,0.05
0.4785714285714286,0.21,0.0,1,0.05
0.5357142857142858,0.21,0.0,1,0.05
